epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.40572,1.4937,2.95572,2.99366,1.8227,0.70076,0.63333,0.75173,0.47527,0.6641,0.53333,0.61132,0.44208,1.6647,2.68582,1.46882,1.38797,0,0,0
2,7.03971,1.21097,3.24232,2.71818,1.4202,0.70081,0.63333,0.74456,0.48571,0.6891,0.61667,0.6345,0.43866,1.66349,2.68264,1.46203,1.38742,1.16644e-06,1.16644e-06,1.16644e-06
3,9.58454,1.19239,3.03957,4.11288,1.53851,0.70569,0.61667,0.74472,0.48853,0.70569,0.61667,0.63399,0.43674,1.65242,2.68113,1.45463,1.38313,2.28575e-06,2.28575e-06,2.28575e-06
4,12.1553,1.26562,2.96336,2.50637,1.40789,0.70625,0.63333,0.746,0.50136,0.6944,0.61667,0.634,0.43745,1.63382,2.66941,1.44637,1.37992,3.35794e-06,3.35794e-06,3.35794e-06
5,14.6917,1.41928,2.83247,3.23197,1.68841,0.7067,0.63333,0.77737,0.50945,0.69487,0.61667,0.62956,0.43814,1.61691,2.67082,1.44951,1.37981,4.38301e-06,4.38301e-06,4.38301e-06
6,17.2123,1.70144,4.10241,4.20686,2.01447,0.71492,0.6226,0.74632,0.50376,0.71036,0.61667,0.63155,0.43566,1.61714,2.66815,1.45696,1.37875,5.36095e-06,5.36095e-06,5.36095e-06
7,19.6971,1.30269,2.48973,1.89879,1.48463,0.72087,0.61667,0.77428,0.51104,0.72087,0.61667,0.62671,0.43313,1.60839,2.66735,1.45983,1.37804,6.29177e-06,6.29177e-06,6.29177e-06
8,22.1491,1.12975,3.77061,3.72961,1.40562,0.72157,0.60655,0.78657,0.5138,0.72157,0.60655,0.63812,0.44029,1.61021,2.66707,1.45999,1.37868,7.17546e-06,7.17546e-06,7.17546e-06
9,24.637,1.29603,3.29532,3.31148,1.5882,0.724,0.6,0.80235,0.51786,0.70659,0.58333,0.62509,0.44329,1.61686,2.65537,1.45441,1.378,8.01203e-06,8.01203e-06,8.01203e-06
10,27.1748,1.18204,3.69092,3.01666,1.55944,0.73701,0.6,0.80162,0.50178,0.69899,0.56667,0.62355,0.43993,1.62323,2.65029,1.46357,1.37918,8.80148e-06,8.80148e-06,8.80148e-06
11,29.648,1.4533,3.12467,2.73545,1.65452,0.73531,0.6,0.77374,0.51647,0.69825,0.56667,0.66251,0.44652,1.6249,2.6394,1.47265,1.37918,9.5438e-06,9.5438e-06,9.5438e-06
12,32.1432,1.18611,3.1013,2.02846,1.50801,0.73061,0.6,0.78638,0.52551,0.70118,0.57289,0.69105,0.45794,1.6206,2.6274,1.4751,1.37806,1.0239e-05,1.0239e-05,1.0239e-05
13,34.7982,1.07585,3.22391,2.61479,1.28017,0.73651,0.6,0.78716,0.52726,0.69951,0.56667,0.66256,0.45215,1.62068,2.62601,1.49239,1.37903,1.08871e-05,1.08871e-05,1.08871e-05
14,37.2689,1.41274,3.0585,2.75844,1.72463,0.73196,0.6,0.77542,0.52038,0.71415,0.58333,0.71198,0.46345,1.61716,2.61832,1.49342,1.37869,1.1488e-05,1.1488e-05,1.1488e-05
15,39.8597,0.89794,2.25843,1.57198,1.15134,0.72454,0.6,0.78049,0.52541,0.69032,0.56667,0.69239,0.46583,1.61581,2.61418,1.50706,1.37868,1.20418e-05,1.20418e-05,1.20418e-05
16,42.3989,1.10796,2.33525,2.15629,1.54232,0.71765,0.6,0.83732,0.55063,0.71611,0.59862,0.80408,0.49602,1.62118,2.60306,1.51527,1.3796,1.25486e-05,1.25486e-05,1.25486e-05
17,44.8942,0.97127,2.50194,1.93706,1.24482,0.71901,0.6,0.83382,0.5582,0.70207,0.58333,0.80021,0.49429,1.6203,2.60197,1.53896,1.38217,1.30081e-05,1.30081e-05,1.30081e-05
18,47.4313,1.21143,2.92531,1.57545,1.47708,0.71901,0.6,0.83382,0.5582,0.70207,0.58333,0.80021,0.49429,1.6203,2.60197,1.53896,1.38217,1.34206e-05,1.34206e-05,1.34206e-05
19,49.9912,1.10915,2.67731,1.95573,1.22776,0.72748,0.6,0.83091,0.5518,0.71049,0.58333,0.79804,0.50258,1.61869,2.59403,1.56845,1.37972,1.37859e-05,1.37859e-05,1.37859e-05
20,52.4958,1.07853,2.77302,1.5193,1.39694,0.72748,0.6,0.83091,0.5518,0.71049,0.58333,0.79804,0.50258,1.61869,2.59403,1.56845,1.37972,1.41041e-05,1.41041e-05,1.41041e-05
21,54.9748,1.2017,3.47627,2.8465,1.62255,0.7187,0.6,0.83134,0.50981,0.71815,0.59951,0.79886,0.49724,1.61645,2.57884,1.57935,1.37777,1.43752e-05,1.43752e-05,1.43752e-05
22,57.4388,1.30874,4.02227,2.70984,1.70206,0.7187,0.6,0.83134,0.50981,0.71815,0.59951,0.79886,0.49724,1.61645,2.57884,1.57935,1.37777,1.45992e-05,1.45992e-05,1.45992e-05
23,59.9178,1.2636,2.98113,1.93941,1.54147,0.73348,0.6,0.8604,0.51912,0.73046,0.59728,0.79981,0.48925,1.59969,2.56912,1.60048,1.3719,1.4776e-05,1.4776e-05,1.4776e-05
24,62.2875,1.27844,2.7064,2.3414,1.64947,0.73348,0.6,0.8604,0.51912,0.73046,0.59728,0.79981,0.48925,1.59969,2.56912,1.60048,1.3719,1.49057e-05,1.49057e-05,1.49057e-05
25,64.7536,1.01582,2.46689,1.77466,1.37856,0.70495,0.6,0.86335,0.5226,0.70495,0.6,0.80274,0.48318,1.59886,2.56188,1.618,1.37273,1.49883e-05,1.49883e-05,1.49883e-05
